name,port,siz,atm,hyd,pop,gov,law,tl,uwp
System-1206,D,1,0,0,A,6,8,8,D100A68-8
System-1207,B,7,4,7,4,4,3,A,B747443-A
System-1208,C,0,0,0,5,8,7,8,C000587-8
System-1209,D,5,A,2,3,2,6,6,D5A2326-6
System-1210,D,8,8,7,2,2,6,4,D887226-4
System-1211,E,9,9,5,6,8,7,6,E995687-6
System-1212,E,4,5,1,4,1,0,6,E451410-6
System-1213,C,4,1,0,4,1,3,A,C410413-A
System-1214,E,4,3,0,4,3,1,6,E430431-6
System-1215,D,9,7,8,4,3,5,7,D978435-7
System-1216,B,3,4,0,4,0,3,D,B340403-D
System-1217,X,9,8,5,4,8,6,0,X985486-0
System-1218,C,7,B,8,6,7,A,8,C7B867A-8
System-1219,E,8,6,8,5,3,4,5,E868534-5
System-1220,B,9,7,8,2,1,1,A,B978211-A
System-1221,E,3,7,4,9,B,B,7,E3749BB-7
System-1222,E,3,1,0,2,3,0,8,E310230-8
System-1223,A,9,8,A,5,3,3,E,A98A533-E
System-1224,X,4,5,6,7,B,D,3,X4567BD-3
System-1225,C,5,7,6,2,2,6,5,C576226-5
System-1226,B,2,3,2,7,7,5,A,B232775-A
System-1227,E,6,4,4,6,9,7,4,E644697-4
System-1228,C,6,6,7,8,9,8,3,C667898-3
System-1229,D,3,4,0,6,7,7,4,D340677-4
System-1230,E,5,7,2,3,6,9,4,E572369-4
System-1231,B,5,3,2,6,6,7,8,B532667-8
System-1232,D,3,4,9,6,4,4,7,D349644-7
System-1233,C,3,5,3,3,2,2,5,C353322-5
System-1234,D,2,1,0,3,7,4,6,D210374-6
System-1235,E,7,A,1,4,8,3,4,E7A1483-4
System-1236,C,7,2,0,3,3,3,6,C720333-6
System-1237,D,9,A,4,2,1,0,7,D9A4210-7
System-1238,D,A,7,4,3,6,5,5,DA74365-5
System-1239,E,6,B,8,5,4,0,8,E6B8540-8
System-1240,D,3,3,1,6,2,1,6,D331621-6
System-1241,B,5,5,1,4,2,1,A,B551421-A
System-1242,E,7,7,7,8,B,B,3,E7778BB-3
System-1243,D,5,9,7,7,6,2,1,D597762-1
System-1244,D,3,4,0,9,6,7,5,D340967-5
System-1245,E,6,6,4,7,8,B,3,E66478B-3
System-1246,C,7,7,9,5,1,1,7,C779511-7
System-1247,E,6,7,9,6,6,6,2,E679666-2
System-1248,E,5,4,7,2,0,0,7,E547200-7
System-1249,X,7,A,9,7,B,8,0,X7A97B8-0
System-1250,E,6,3,5,9,7,7,4,E635977-4
System-1251,E,7,B,9,7,2,2,4,E7B9722-4
System-1252,B,9,9,7,2,6,7,A,B997267-A
System-1253,B,9,C,9,2,2,0,B,B9C9220-B
System-1254,X,5,7,9,5,6,9,0,X579569-0
System-1255,B,1,2,0,9,6,2,B,B120962-B
System-1256,E,8,9,6,6,5,7,7,E896657-7
System-1257,C,3,2,2,5,3,3,9,C322533-9
System-1258,C,1,6,0,8,B,A,A,C1608BA-A
System-1259,C,5,6,6,3,4,2,4,C566342-4
System-1260,E,2,1,2,9,7,6,8,E212976-8
System-1261,X,0,0,0,5,8,A,4,X00058A-4
System-1262,C,2,3,6,4,1,3,B,C236413-B
System-1263,D,9,8,9,6,5,3,4,D989653-4
System-1264,E,9,8,5,3,6,6,6,E985366-6
System-1265,E,5,8,A,3,5,2,6,E58A352-6
System-1266,E,3,5,A,5,5,5,8,E35A555-8
System-1267,C,4,2,3,3,4,2,8,C423342-8
System-1268,B,8,B,A,4,0,4,D,B8BA404-D
System-1269,D,2,5,5,5,6,2,4,D255562-4
System-1270,D,4,0,0,3,5,A,5,D40035A-5
System-1271,C,1,1,0,4,5,4,C,C110454-C
System-1272,B,7,4,2,5,7,5,9,B742575-9
System-1273,C,6,8,7,6,4,5,4,C687645-4
System-1274,D,7,6,4,5,6,8,2,D764568-2
System-1275,E,7,6,1,7,8,7,2,E761787-2
System-1276,E,8,7,8,A,A,E,5,E878AAE-5
System-1277,D,8,5,5,6,6,7,3,D855667-3
System-1278,E,7,B,7,5,4,3,8,E7B7543-8
System-1279,E,4,0,0,9,9,7,7,E400997-7
System-1280,C,5,1,0,0,0,0,7,C510000-7
System-1281,X,6,9,A,6,8,4,0,X69A684-0
System-1282,E,4,8,4,2,0,0,7,E484200-7
System-1283,X,6,6,8,7,3,5,0,X668735-0
System-1284,X,5,9,A,2,2,5,1,X59A225-1
System-1285,X,3,6,4,7,A,C,3,X3647AC-3
System-1286,D,2,2,0,3,0,0,A,D220300-A
System-1287,X,5,2,0,4,4,3,0,X520443-0
System-1288,B,7,8,A,4,4,1,8,B78A441-8
System-1289,E,5,6,A,4,4,0,5,E56A440-5
System-1290,C,4,2,7,7,3,4,7,C427734-7
System-1291,C,6,5,9,6,8,8,9,C659688-9
System-1292,E,1,0,0,7,6,5,8,E100765-8
System-1293,C,8,8,9,A,7,4,D,C889A74-D
System-1294,D,4,8,A,3,0,0,6,D48A300-6
System-1295,D,7,8,A,6,6,3,4,D78A663-4
System-1296,E,4,0,0,6,7,7,7,E400677-7
System-1297,C,5,7,6,4,6,8,9,C576468-9
System-1298,X,4,8,5,5,5,8,1,X485558-1
System-1299,A,7,6,7,4,3,2,8,A767432-8
System-1300,X,4,3,5,7,6,2,4,X435762-4
System-1301,B,1,0,0,6,3,3,A,B100633-A
System-1302,E,1,3,0,B,D,D,A,E130BDD-A
System-1303,B,6,7,A,D,F,G,B,B67ADFG-B
System-1304,E,5,1,0,7,5,1,6,E510751-6
System-1305,D,7,7,A,8,5,4,6,D77A854-6
System-1306,E,5,7,6,6,6,7,6,E576667-6
System-1307,E,4,0,0,8,5,3,8,E400853-8
System-1308,C,5,5,3,7,B,8,5,C5537B8-5
System-1309,X,5,4,6,6,1,0,0,X546610-0
System-1310,B,F,F,A,3,0,3,F,BFFA303-F
System-1311,X,5,5,4,0,3,3,2,X554033-2
System-1312,C,5,6,3,6,4,4,4,C563644-4
System-1313,X,5,3,1,4,7,6,1,X531476-1
System-1314,C,6,4,6,6,A,9,3,C6466A9-3
System-1315,B,2,1,0,6,5,0,9,B210650-9
System-1316,E,0,0,0,7,3,7,5,E000737-5
System-1317,X,5,8,A,4,9,C,3,X58A49C-3
System-1318,E,2,0,0,6,8,B,4,E20068B-4
System-1319,E,0,0,0,4,1,2,9,E000412-9
System-1320,X,7,5,2,7,7,4,1,X752774-1
System-1321,E,6,2,0,4,4,3,6,E620443-6
System-1322,E,4,8,8,7,A,6,3,E4887A6-3
System-1323,D,4,3,7,7,6,6,8,D437766-8
System-1324,B,5,9,4,6,6,6,6,B594666-6
System-1325,D,4,3,3,7,7,9,5,D433779-5
System-1326,X,2,5,7,3,3,5,4,X257335-4
System-1327,X,9,7,A,9,9,8,5,X97A998-5
System-1328,X,3,2,0,7,6,4,0,X320764-0
System-1329,B,7,3,7,7,4,6,7,B737746-7
System-1330,C,6,5,5,2,0,0,7,C655200-7
System-1331,B,1,3,0,4,3,3,B,B130433-B
System-1332,E,2,2,2,3,2,3,7,E222323-7
System-1333,C,7,7,A,7,A,B,8,C77A7AB-8
System-1334,E,2,5,2,6,6,5,5,E252665-5
System-1335,D,4,5,3,4,6,A,5,D45346A-5
System-1336,B,8,8,8,4,4,3,7,B888443-7
System-1337,X,3,5,3,5,5,8,2,X353558-2
System-1338,C,0,0,0,5,6,8,7,C000568-7
System-1339,E,6,A,5,2,1,0,5,E6A5210-5
System-1340,D,1,0,0,8,3,4,4,D100834-4
System-1341,E,3,3,3,7,6,8,6,E333768-6
System-1342,D,1,1,0,6,3,1,7,D110631-7
System-1343,D,3,0,0,5,9,9,7,D300599-7
System-1344,B,4,9,9,2,3,0,9,B499230-9
System-1345,X,8,6,6,4,2,0,0,X866420-0
System-1346,C,7,9,7,2,0,0,9,C797200-9
System-1347,A,5,6,7,5,A,8,D,A5675A8-D
System-1348,D,3,1,0,2,0,0,7,D310200-7
System-1349,C,3,1,0,1,0,2,B,C310102-B
System-1350,E,8,A,7,5,6,4,7,E8A7564-7
System-1351,X,3,0,0,2,2,0,0,X300220-0
System-1352,E,3,5,5,7,6,9,2,E355769-2
System-1353,E,8,5,7,5,7,4,7,E857574-7
System-1354,B,3,4,5,4,1,4,C,B345414-C
System-1355,A,5,A,5,4,7,6,C,A5A5476-C
System-1356,X,3,3,5,5,4,6,4,X335546-4
System-1357,E,3,4,5,6,9,8,2,E345698-2
System-1358,B,4,6,9,4,4,4,C,B469444-C
System-1359,X,6,2,3,1,0,0,0,X623100-0
System-1360,D,4,5,1,6,6,8,5,D451668-5
System-1361,D,8,A,6,7,6,4,2,D8A6764-2
System-1362,C,3,4,4,3,3,3,6,C344333-6
System-1363,X,6,6,A,4,1,5,1,X66A415-1
System-1364,D,5,4,7,7,6,5,4,D547765-4
System-1365,X,1,0,0,8,A,A,5,X1008AA-5
System-1366,C,5,2,0,2,0,5,A,C520205-A
System-1367,X,3,3,5,5,5,8,2,X335558-2
System-1368,A,7,4,6,5,9,7,9,A746597-9
System-1369,C,D,8,A,4,7,8,A,CD8A478-A
System-1370,D,5,5,5,2,0,0,7,D555200-7
System-1371,X,4,4,6,8,A,8,0,X4468A8-0
System-1372,C,4,1,0,6,6,9,5,C410669-5
System-1373,B,8,9,6,2,2,0,B,B896220-B
System-1374,D,4,2,0,2,4,6,5,D420246-5
System-1375,C,4,0,0,6,3,0,7,C400630-7
System-1376,E,7,2,0,7,A,C,5,E7207AC-5
System-1377,C,5,7,A,8,C,D,A,C57A8CD-A
System-1378,E,7,9,A,8,9,9,7,E79A899-7
System-1379,C,3,6,A,2,2,1,B,C36A221-B
System-1380,A,1,0,0,5,7,6,G,A100576-G
System-1381,D,4,5,7,5,5,3,6,D457553-6
System-1382,B,2,0,0,8,A,A,C,B2008AA-C
System-1383,C,3,5,7,4,3,3,A,C357433-A
System-1384,B,6,B,A,7,2,3,A,B6BA723-A
System-1385,D,4,4,6,6,6,8,5,D446668-5
System-1386,C,6,9,6,9,D,G,6,C6969DG-6
System-1387,C,7,C,7,7,6,7,5,C7C7767-5
System-1388,X,5,5,5,4,2,3,0,X555423-0
System-1389,X,3,0,0,9,B,D,5,X3009BD-5
System-1390,C,7,8,8,5,5,3,6,C788553-6
System-1391,C,D,F,7,6,5,3,9,CDF7653-9
System-1392,X,4,5,5,4,7,5,1,X455475-1
System-1393,C,7,7,5,4,6,3,8,C775463-8
System-1394,C,5,8,6,5,6,7,9,C586567-9
System-1395,A,5,6,9,5,0,0,D,A569500-D
System-1396,E,6,7,3,6,9,8,5,E673698-5
System-1397,D,3,4,3,5,8,8,5,D343588-5
System-1398,D,4,4,7,4,2,0,5,D447420-5
System-1399,E,7,7,5,2,2,2,3,E775222-3
System-1400,E,9,B,5,2,1,6,8,E9B5216-8
System-1401,E,5,7,8,3,2,4,7,E578324-7
System-1402,C,4,5,4,0,0,5,8,C454005-8
System-1403,X,7,7,3,6,5,6,0,X773656-0
System-1404,E,9,5,2,2,2,0,7,E952220-7
System-1405,B,7,A,4,7,6,3,8,B7A4763-8
System-1406,B,4,2,1,2,5,0,D,B421250-D
System-1407,D,4,5,4,8,7,6,5,D454876-5
System-1408,C,1,0,0,7,5,4,A,C100754-A
System-1409,E,3,6,3,7,6,7,6,E363767-6
System-1410,D,5,8,7,3,5,8,4,D587358-4
System-1411,B,5,8,A,6,B,C,B,B58A6BC-B
System-1412,B,4,5,3,5,7,B,8,B45357B-8
System-1413,D,9,7,6,1,5,5,6,D976155-6
System-1414,D,9,E,A,5,5,9,8,D9EA559-8
System-1415,D,2,3,2,4,5,2,A,D232452-A
System-1416,B,3,6,5,3,7,6,C,B365376-C
System-1417,C,5,3,2,5,8,A,8,C53258A-8
System-1418,E,5,8,A,7,6,7,6,E58A767-6
System-1419,D,7,6,9,5,7,5,4,D769575-4
System-1420,C,8,9,7,4,6,A,9,C89746A-9
System-1421,E,7,6,4,6,6,2,3,E764662-3
System-1422,C,1,0,0,4,0,0,C,C100400-C
System-1423,D,3,0,0,6,6,4,6,D300664-6
System-1424,E,5,0,0,6,6,6,6,E500666-6
System-1425,B,9,5,3,7,5,6,8,B953756-8
System-1426,E,5,0,0,6,7,7,7,E500677-7
System-1427,A,4,2,6,6,7,8,B,A426678-B
System-1428,A,5,5,7,B,A,9,G,A557BA9-G
System-1429,E,9,5,4,8,5,3,7,E954853-7
System-1430,C,2,4,6,5,9,8,8,C246598-8
System-1431,E,6,6,9,4,8,7,6,E669487-6
System-1432,D,5,8,9,6,2,1,5,D589621-5
System-1433,B,1,3,0,7,6,5,C,B130765-C
System-1434,E,8,C,7,2,5,1,7,E8C7251-7
System-1435,X,2,0,1,5,2,1,3,X201521-3
System-1436,X,1,1,0,3,3,0,5,X110330-5
System-1437,B,6,6,4,5,6,3,6,B664563-6
System-1438,X,B,C,5,5,1,1,2,XBC5511-2
System-1439,D,4,3,5,5,A,8,7,D4355A8-7
System-1440,C,6,3,6,5,7,8,7,C636578-7
System-1441,B,7,A,A,3,6,1,D,B7AA361-D
System-1442,D,3,7,7,5,5,0,4,D377550-4
System-1443,C,3,1,0,4,6,3,B,C310463-B
System-1444,E,4,3,0,5,7,8,6,E430578-6
System-1445,X,3,3,1,4,5,8,4,X331458-4
System-1446,C,7,3,3,3,6,6,9,C733366-9
System-1447,C,7,B,A,7,6,4,9,C7BA764-9
System-1448,E,4,5,8,6,3,4,2,E458634-2
System-1449,D,5,2,2,6,9,B,7,D52269B-7
System-1450,D,4,9,A,5,6,6,9,D49A566-9
System-1451,X,4,9,8,3,3,2,2,X498332-2
System-1452,C,6,A,7,4,1,2,7,C6A7412-7
System-1453,C,5,3,1,1,0,0,A,C531100-A
System-1454,C,0,0,0,8,4,6,6,C000846-6
System-1455,E,6,B,5,8,7,8,2,E6B5878-2
System-1456,E,3,2,3,6,4,5,6,E323645-6
System-1457,X,7,6,A,8,B,9,2,X76A8B9-2
System-1458,E,2,2,1,5,8,6,5,E221586-5
System-1459,C,4,4,4,4,9,A,5,C44449A-5
System-1460,X,2,4,3,5,6,4,4,X243564-4
System-1461,E,2,5,5,9,9,6,6,E255996-6
System-1462,D,5,6,4,4,5,3,7,D564453-7
System-1463,E,3,4,7,5,2,1,7,E347521-7
System-1464,B,2,0,0,6,5,4,8,B200654-8
System-1465,X,B,8,8,6,7,A,0,XB8867A-0
System-1466,C,5,3,3,3,0,0,9,C533300-9
System-1467,B,4,4,3,5,4,3,9,B443543-9
System-1468,B,4,1,0,3,2,2,D,B410322-D
System-1469,C,5,3,1,6,4,3,8,C531643-8
System-1470,X,6,7,6,4,0,4,0,X676404-0
System-1471,E,7,9,7,4,6,4,3,E797464-3
System-1472,D,9,9,9,7,4,7,6,D999747-6
System-1473,E,7,3,6,5,5,7,8,E736557-8
System-1474,E,4,5,5,6,8,B,2,E45568B-2
System-1475,B,1,3,0,4,7,6,C,B130476-C
System-1476,X,4,0,1,6,7,8,3,X401678-3
System-1477,C,4,6,7,4,5,5,9,C467455-9
System-1478,C,C,A,A,6,B,B,A,CCAA6BB-A
System-1479,X,2,2,3,8,A,9,2,X2238A9-2
System-1480,D,7,7,5,6,4,0,2,D775640-2
System-1481,D,7,8,A,0,0,0,5,D78A000-5
System-1482,X,8,B,2,8,B,9,0,X8B28B9-0
System-1483,D,4,6,7,1,1,0,6,D467110-6
System-1484,C,F,D,8,B,B,C,B,CFD8BBC-B
System-1485,E,4,5,1,4,4,7,6,E451447-6
System-1486,B,8,8,A,3,4,4,D,B88A344-D
System-1487,A,4,3,2,4,0,0,E,A432400-E
System-1488,E,2,0,0,2,3,5,4,E200235-4
System-1489,B,9,A,5,8,8,9,A,B9A5889-A
System-1490,E,F,D,9,3,1,0,7,EFD9310-7
System-1491,B,4,8,A,5,7,7,9,B48A577-9
System-1492,C,2,0,0,0,0,0,8,C200000-8
System-1493,D,0,0,0,3,3,3,6,D000333-6
System-1494,E,4,7,9,6,A,D,6,E4796AD-6
System-1495,B,2,0,0,0,0,0,8,B200000-8
System-1496,E,0,0,0,6,3,2,5,E000632-5
System-1497,C,8,6,1,2,2,0,5,C861220-5
System-1498,X,5,3,0,2,2,5,4,X530225-4
System-1499,E,8,3,2,6,2,0,2,E832620-2
System-1500,B,1,1,0,7,6,A,C,B11076A-C
System-1501,X,9,7,7,5,2,3,2,X977523-2
System-1502,B,6,8,A,3,0,1,E,B68A301-E
System-1503,E,4,4,6,9,7,8,7,E446978-7
System-1504,C,3,4,6,5,5,6,7,C346556-7
System-1505,C,8,B,A,5,3,4,8,C8BA534-8
System-1506,B,5,6,2,2,2,0,8,B562220-8
System-1507,D,2,5,2,0,4,4,3,D252044-3
System-1508,E,5,7,A,7,4,0,6,E57A740-6
System-1509,E,7,A,5,8,7,9,4,E7A5879-4
System-1510,D,4,9,5,6,6,6,6,D495666-6
System-1511,D,8,5,4,5,5,3,6,D854553-6
System-1512,X,5,3,5,3,1,0,3,X535310-3
System-1513,C,6,A,5,2,4,2,8,C6A5242-8
System-1514,C,3,1,0,5,3,5,7,C310535-7
System-1515,B,8,C,8,6,3,3,6,B8C8633-6
System-1516,E,9,7,8,7,7,7,6,E978777-6
System-1517,C,9,A,6,7,6,3,7,C9A6763-7
System-1518,X,6,4,3,5,8,9,3,X643589-3
System-1519,C,4,2,1,4,6,7,9,C421467-9
System-1520,D,1,0,0,8,9,E,4,D10089E-4
System-1521,E,4,8,8,5,7,5,7,E488575-7
System-1522,B,8,6,A,5,8,7,C,B86A587-C
System-1523,C,3,1,0,2,0,3,9,C310203-9
System-1524,X,2,3,3,6,6,8,1,X233668-1
System-1525,D,6,B,4,9,D,E,2,D6B49DE-2
System-1526,C,7,5,6,4,5,4,8,C756454-8
System-1527,E,3,2,2,3,4,7,6,E322347-6
System-1528,C,4,3,3,4,4,0,B,C433440-B
System-1529,D,6,6,5,0,0,1,5,D665001-5
System-1530,A,2,2,0,6,6,2,B,A220662-B
System-1531,C,7,6,7,4,0,0,7,C767400-7
System-1532,C,8,D,9,9,9,B,7,C8D999B-7
System-1533,E,6,5,7,2,7,9,5,E657279-5
System-1534,D,6,7,7,7,3,3,4,D677733-4
System-1535,E,6,B,9,6,8,7,7,E6B9687-7
System-1536,X,2,0,0,7,4,3,2,X200743-2
System-1537,B,3,5,7,5,6,7,8,B357567-8
System-1538,C,3,3,3,4,2,0,7,C333420-7
System-1539,C,2,0,0,5,3,1,A,C200531-A
System-1540,C,6,A,6,9,C,D,B,C6A69CD-B
System-1541,B,7,9,7,4,3,6,8,B797436-8
System-1542,C,4,4,8,2,1,2,6,C448212-6
System-1543,E,3,2,1,5,4,7,6,E321547-6
System-1544,X,1,2,0,5,8,4,6,X120584-6
System-1545,X,4,5,2,2,1,0,3,X452210-3
System-1546,E,4,4,2,5,5,5,9,E442555-9
System-1547,C,3,7,7,9,6,7,7,C377967-7
System-1548,D,5,4,6,4,2,5,6,D546425-6
System-1549,X,9,B,8,2,0,0,0,X9B8200-0
System-1550,C,5,9,6,2,0,3,8,C596203-8
System-1551,E,2,2,2,6,3,3,8,E222633-8
System-1552,C,6,7,6,8,6,7,8,C676867-8
System-1553,C,7,2,4,7,4,3,6,C724743-6
System-1554,D,6,A,6,3,2,6,6,D6A6326-6
System-1555,X,3,3,1,5,5,8,1,X331558-1
System-1556,C,1,0,0,6,5,2,B,C100652-B
System-1557,X,6,5,6,5,3,4,0,X656534-0
System-1558,E,4,2,0,5,6,9,7,E420569-7
System-1559,E,8,8,A,5,4,0,5,E88A540-5
System-1560,E,7,8,8,3,0,0,8,E788300-8
System-1561,D,0,0,0,9,6,6,6,D000966-6
System-1562,X,5,3,5,9,9,9,4,X535999-4
System-1563,D,6,5,2,8,7,C,2,D65287C-2
System-1564,B,6,9,A,5,9,6,8,B69A596-8
System-1565,D,5,3,3,5,0,0,9,D533500-9
System-1566,E,3,5,3,8,4,1,4,E353841-4
System-1567,X,7,6,4,6,6,4,0,X764664-0
System-1568,C,8,B,8,2,0,0,B,C8B8200-B
System-1569,X,7,7,8,7,7,9,0,X778779-0
System-1570,C,5,2,3,A,6,7,A,C523A67-A
System-1571,C,6,5,5,3,0,5,5,C655305-5
System-1572,D,8,5,6,6,3,8,1,D856638-1
System-1573,B,7,9,5,3,0,0,A,B795300-A
System-1574,C,6,8,A,3,3,0,B,C68A330-B
System-1575,D,7,9,5,6,9,7,2,D795697-2
System-1576,D,4,2,1,4,5,4,8,D421454-8
System-1577,D,7,9,A,2,1,5,4,D79A215-4
System-1578,E,9,B,7,7,4,8,4,E9B7748-4
System-1579,E,6,6,4,2,2,2,6,E664222-6
System-1580,C,4,5,6,7,6,B,4,C45676B-4
System-1581,E,6,7,7,5,1,2,6,E677512-6
System-1582,C,6,4,2,1,0,0,A,C642100-A
System-1583,E,4,0,0,6,5,4,5,E400654-5
System-1584,E,4,2,5,B,9,B,C,E425B9B-C
System-1585,D,7,9,7,2,3,3,4,D797233-4
System-1586,E,4,2,2,6,3,3,4,E422633-4
System-1587,C,1,2,0,8,6,6,9,C120866-9
System-1588,C,4,5,0,6,3,3,8,C450633-8
System-1589,X,2,0,0,2,6,6,3,X200266-3
System-1590,D,D,E,A,5,1,1,6,DDEA511-6
System-1591,E,4,5,7,5,6,6,6,E457566-6
System-1592,C,1,0,0,2,1,1,9,C100211-9
System-1593,C,5,6,A,2,6,8,6,C56A268-6
System-1594,B,1,3,0,6,5,3,E,B130653-E
System-1595,C,5,2,3,2,4,4,A,C523244-A
System-1596,E,9,7,7,8,6,7,2,E977867-2
System-1597,C,5,9,A,4,7,5,8,C59A475-8
System-1598,C,8,8,4,4,3,6,9,C884436-9
System-1599,E,4,6,6,9,8,C,8,E46698C-8
System-1600,E,8,C,5,3,0,2,4,E8C5302-4
System-1601,E,3,0,0,4,6,9,6,E300469-6
System-1602,C,4,7,9,3,2,5,8,C479325-8
System-1603,C,6,3,0,1,5,5,B,C630155-B
System-1604,C,6,4,5,3,4,1,5,C645341-5
System-1605,C,6,7,6,2,0,0,A,C676200-A
System-1606,D,9,8,A,3,3,6,4,D98A336-4
System-1607,D,6,3,6,9,8,8,8,D636988-8
System-1608,C,5,8,8,6,1,1,4,C588611-4
System-1609,E,2,6,5,4,2,0,8,E265420-8
System-1610,E,3,4,4,6,6,8,4,E344668-4
System-1611,X,4,6,4,9,5,8,5,X464958-5
System-1612,C,6,6,1,7,6,4,7,C661764-7
System-1613,E,4,3,6,0,3,2,3,E436032-3
System-1614,B,0,0,0,1,0,1,A,B000101-A
System-1615,C,5,5,6,5,5,5,7,C556555-7
System-1616,C,6,5,7,1,1,5,7,C657115-7
System-1617,C,2,0,0,2,0,0,8,C200200-8
System-1618,C,6,7,5,3,0,1,5,C675301-5
System-1619,C,4,0,0,4,7,2,A,C400472-A
System-1620,D,3,6,6,7,3,1,3,D366731-3
System-1621,B,2,1,0,3,7,7,D,B210377-D
System-1622,C,6,4,4,5,1,0,5,C644510-5
System-1623,E,3,4,4,6,9,A,6,E34469A-6
System-1624,E,3,6,8,3,2,0,8,E368320-8
System-1625,D,2,6,8,4,5,4,5,D268454-5
System-1626,C,1,3,0,6,7,8,A,C130678-A
System-1627,E,6,4,7,9,C,B,7,E6479CB-7
System-1628,X,5,7,A,3,6,A,0,X57A36A-0
System-1629,E,2,2,0,6,7,8,8,E220678-8
System-1630,D,4,0,0,4,1,2,4,D400412-4
System-1631,E,6,5,8,5,5,3,3,E658553-3
System-1632,E,0,0,0,4,9,C,A,E00049C-A
System-1633,C,6,3,0,6,A,8,4,C6306A8-4
System-1634,D,6,B,7,9,9,D,7,D6B799D-7
System-1635,C,9,A,9,8,7,5,5,C9A9875-5
System-1636,X,5,4,6,5,3,0,3,X546530-3
System-1637,E,D,F,7,5,4,8,6,EDF7548-6
System-1638,E,5,5,6,6,7,8,5,E556678-5
System-1639,E,9,A,A,6,8,7,7,E9AA687-7
System-1640,X,8,4,6,1,0,0,2,X846100-2
System-1641,E,2,0,0,1,2,1,6,E200121-6
System-1642,B,7,7,5,6,4,4,6,B775644-6
System-1643,C,5,8,A,B,9,7,A,C58AB97-A
System-1644,D,7,3,2,3,2,0,5,D732320-5
System-1645,X,3,4,7,5,3,6,3,X347536-3
System-1646,X,0,0,0,3,1,3,5,X000313-5
System-1647,X,5,5,6,5,7,3,2,X556573-2
System-1648,X,5,1,0,9,A,7,3,X5109A7-3
System-1649,E,9,9,9,8,9,8,4,E999898-4
System-1650,C,7,4,3,4,8,8,5,C743488-5
System-1651,D,1,0,0,6,7,6,8,D100676-8
System-1652,E,2,6,A,2,0,0,7,E26A200-7
System-1653,C,2,5,6,0,0,1,8,C256001-8
System-1654,E,7,A,5,7,8,A,4,E7A578A-4
System-1655,A,B,7,8,6,4,2,9,AB78642-9
System-1656,E,5,5,4,2,6,5,7,E554265-7
System-1657,E,7,4,6,2,2,2,7,E746222-7
System-1658,X,4,4,8,6,7,4,0,X448674-0
System-1659,E,8,8,8,2,3,2,6,E888232-6
System-1660,E,5,3,5,8,A,7,4,E5358A7-4
System-1661,A,6,3,4,6,7,5,B,A634675-B
System-1662,D,2,0,0,5,6,7,7,D200567-7
System-1663,E,5,3,7,4,8,8,7,E537488-7
System-1664,D,9,9,9,4,4,4,5,D999444-5
System-1665,E,9,8,A,3,6,7,8,E98A367-8
System-1666,E,4,3,4,4,0,1,8,E434401-8
System-1667,C,2,5,4,9,D,F,8,C2549DF-8
System-1668,E,7,6,8,8,A,7,1,E7688A7-1
System-1669,D,9,B,4,5,6,A,5,D9B456A-5
System-1670,C,6,6,4,5,1,1,9,C664511-9
System-1671,D,5,2,6,2,2,3,3,D526223-3
System-1672,C,4,3,4,7,4,4,8,C434744-8
System-1673,X,2,1,0,4,8,B,5,X21048B-5
System-1674,E,2,3,0,A,A,7,8,E230AA7-8
System-1675,C,2,1,0,3,3,7,B,C210337-B
System-1676,E,3,7,6,6,4,5,5,E376645-5
System-1677,E,5,1,0,7,9,4,5,E510794-5
System-1678,X,5,8,5,4,5,4,1,X585454-1
System-1679,E,0,0,0,5,7,5,9,E000575-9
System-1680,C,6,6,5,8,7,7,5,C665877-5
System-1681,C,5,8,3,5,5,3,7,C583553-7
System-1682,B,6,5,5,7,5,9,9,B655759-9
System-1683,C,9,8,4,8,9,B,5,C98489B-5
System-1684,C,5,4,2,4,5,3,5,C542453-5
System-1685,B,7,9,A,6,A,B,A,B79A6AB-A
System-1686,E,4,5,6,2,6,4,3,E456264-3
System-1687,E,5,7,A,6,5,8,4,E57A658-4
System-1688,E,5,5,4,6,7,4,1,E554674-1
System-1689,E,0,0,0,6,4,5,7,E000645-7
System-1690,X,7,A,6,7,8,6,0,X7A6786-0
System-1691,D,5,5,5,3,4,8,2,D555348-2
System-1692,E,7,6,3,7,5,8,5,E763758-5
System-1693,C,3,6,6,1,5,4,B,C366154-B
System-1694,C,4,4,1,6,3,1,4,C441631-4
System-1695,E,0,0,0,4,4,5,9,E000445-9
System-1696,E,0,0,0,8,9,9,5,E000899-5
System-1697,E,2,5,2,2,0,0,7,E252200-7
System-1698,D,4,4,8,2,7,8,7,D448278-7
System-1699,D,4,8,A,6,7,9,5,D48A679-5
System-1700,C,7,3,3,6,6,8,6,C733668-6
System-1701,B,6,8,A,9,E,D,A,B68A9ED-A
System-1702,B,6,5,2,4,9,C,8,B65249C-8
System-1703,B,3,0,0,5,3,1,C,B300531-C
System-1704,B,2,0,0,7,3,2,9,B200732-9
System-1705,E,6,7,5,8,D,G,2,E6758DG-2
System-1706,C,6,3,8,6,7,A,5,C63867A-5
System-1707,C,2,7,A,3,4,8,B,C27A348-B
System-1708,D,9,4,8,2,0,0,3,D948200-3
System-1709,E,4,1,0,9,A,B,6,E4109AB-6
System-1710,B,5,8,7,4,7,7,9,B587477-9
System-1711,D,3,2,0,5,3,1,7,D320531-7
System-1712,C,9,9,A,4,7,9,9,C99A479-9
